@relation tweets-sentimientos-consistentes-español
@attribute 'tweetid' numeric
@attribute 'user' string
@attribute 'content' string
@attribute 'date' date
@attribute 'lang' { 'es', 'unknown'}
@attribute 'value' { 'O', 'E', 'P', 'n+', 'p+', 'N'}
@attribute 'type' { 'AGREEMENT', 'DISAGREEMENT'}
@data
142517740517867520,'iescolar','¿Me ayudáis a que #indultoneiro sea TT? Por si Zapatero quiere alguna sugerencia para el último consejo de ministros http://t.co/Qao9uvsG','2011-12-02T09:17:31',es,'P','AGREEMENT'
142521019171749888,'mariviromero','abcdesevilla.es: Recio no tiene «indicios potentes» para denunciar a los responsables de los ERE http://t.co/wlDSs1yQ','2011-12-02T09:30:33',es,'N','AGREEMENT'
142521249246097408,'mariviromero','abcdesevilla.es: Cuatro altos cargos de Empleo, denunciados por retirar la prejubilación a extrabajadores http://t.co/LWHxzbuB','2011-12-02T09:31:28',es,'N','AGREEMENT'
142521301054140416,'sanchezcastejon','La marcha atrás del PP en posponer devolución CCAA es un resbalón. Debería asumir fallo y no mentir diciendo que no conoce estado cuentas','2011-12-02T09:31:40',es,'N','AGREEMENT'
142536698188931072,'ccifuentes','Viernes negro: Aumenta el paro en Noviembre y disminuyen los afiliados a la Seguridad Social; esta es la triste #HerenciaPSOE','2011-12-02T10:32:51',es,'n+','AGREEMENT'
142539660835557376,'anabelenroy_tve','Accidente en BUS-VAO A-6 km. 12. Motorista de 30 años herido menos grave. @SAMUR_PC traslada a Hospital Doce de Octubre vía @EmergenciasMad','2011-12-02T10:44:38',es,'N','AGREEMENT'
142545757445173248,'ristomejide','#FF a ti, que deseas desesperadamente hacerme #FF, pero no lo haces por el qué dirán.','2011-12-02T11:08:51',es,'N','AGREEMENT'
142548640685228032,'estherpalomera','Mis #FF xa @merpastor x volver a sonreír, a @GFVara x ser tan autentico, a @24horas_rne x su subidòn y a @CarmendelRiego x su victoria','2011-12-02T11:20:19',es,'p+','AGREEMENT'
142552759953141761,'zoidoalcalde','Agradezco a trabajadores y sindicatos la desconvocatoria de la huelga en el aeropuerto. Me he comprometido a mediar #sevillahoy','2011-12-02T11:36:41',es,'P','AGREEMENT'
142556824292442112,'RV1805','#FF a @RdscubreNavidad por ser una gran iniciativa que en estos momentos se necesita. Hay que recordar lo importante y verdadero!','2011-12-02T11:52:50',es,'p+','AGREEMENT'
142558452257013760,'Cepeda','"Hasta ahora, los filósofos han tratado de comprender el mundo; de lo que se trata, sin embargo, es de cambiarlo"','2011-12-02T11:59:18',es,'O','AGREEMENT'
142561346645540864,'javiersolana','Open Master Class@javiersolana &Pedro Alonso on "Global Health Challenges&Global Governance"@esadegeo@ISGLOBALorg http://t.co/UzhGWbiB… .','2011-12-02T12:10:48',es,'O','AGREEMENT'
142569992418897922,'javiersolana','3.Tercer acto.Acuerdo Bancos centrales para dar un poco de tiempo.','2011-12-02T12:45:09',es,'P','AGREEMENT'
142574119152648192,'mdcospedal','Soy consciente de que estamos pidiendo un gran esfuerzo a las familias castellanomanchegas.','2011-12-02T13:01:33',es,'N','AGREEMENT'
142574138685526016,'DavilaGaceta','Eguiguren: el Gobierno ha negociado con ETA. Llevamos dos años denunciándolo. http://t.co/gsDGB8NV','2011-12-02T13:01:38',es,'N','AGREEMENT'
142579555402653696,'julia_otero','No se ha aprobado la ley Sinde','2011-12-02T13:23:09',es,'N','AGREEMENT'
142579874547249152,'aarbeloa17','¡¡Mucho ánimo hoy para "La Armada"!! ¡¡Espero que podáis brindarnos la quinta Copa Davis!! ¡¡¡MUCHA SUERTE!!! http://t.co/WHsk2vv6','2011-12-02T13:24:25',es,'P','AGREEMENT'
142579876459847680,'Juandecolmenero','Blanco, ministro portavoz en funciones, desacredita de forma rotunda al pte del PSE, Jesús Eguiguren:"no sabe de lo que habla, no es cierto"','2011-12-02T13:24:26',es,'n+','AGREEMENT'
142589717148479489,'patxilopez','En el blog: Defender la solidaridad http://t.co/8sDDYC8j','2011-12-02T14:03:32',es,'O','AGREEMENT'
142593149913673728,'mariviromero','#FF de vuelta ;-)) @Pepemaras @PopularesCyL @anamariavielba @marmarev @ajimnezvelayos @jmoreta23 @dllanosg @c_floriano','2011-12-02T14:17:10',es,'P','AGREEMENT'
142593771790532608,'marodriguezb','Qué graciosos los "laicos" socialistas. Le meten el Amazing Grace a un anuncio de la DGT. Si se descuidan le ponen el Pange Lingua!','2011-12-02T14:19:39',es,'N','DISAGREEMENT'
142594023780134912,'JuanMoscosodelP','Ya he presentado la credencial de diputado en el Congreso en plena jornada de puertas abiertas. #PSNPSOE','2011-12-02T14:20:39',es,'O','AGREEMENT'
142598684511711233,'GLlamazares','El protocolo de IU supone aportar parte del salario, pero no renunciar al seguro de vida, accidente y a la prestación social complementaria','2011-12-02T14:39:10',es,'E','DISAGREEMENT'
142603527712280577,'mariviromero','El post de hoy en mi blog http://t.co/nzhcgrxn','2011-12-02T14:58:25',es,'O','AGREEMENT'
142606640099762176,'mariviromero','Me encanta ver por aqui  a @TuDNIe ;-))','2011-12-02T15:10:47',es,'p+','AGREEMENT'
142608911256662016,'juanes','si están por Valencia España les recomiendo esta exposición !! http://t.co/hkjRpj9b','2011-12-02T15:19:48',es,'P','AGREEMENT'
142610350083276800,'mariviromero','La gran noche de los abanderados 2.0 - La Opinión de Málaga http://t.co/yYu7uXtH','2011-12-02T15:25:31',es,'O','AGREEMENT'
142624216959819776,'maria_rey','“@martacerame: @maria_rey Amigaaaaa!!!!!” holaaaa guapaaaa!','2011-12-02T16:20:37',es,'P','AGREEMENT'
142637480934514688,'garcia_abadillo','El juez imputa a dos directivos de la Ciudad de las Artes y Ciencias de Valencia por el caso Urdangarín. Parece que todos lo están menos él','2011-12-02T17:13:20',es,'N','AGREEMENT'
142658962175705090,'davidbisbal','firma de discos, martes, 6 de diciembre en el Cine Callao a las 18 horas http://t.co/elJGColA','2011-12-02T18:38:41',es,'O','AGREEMENT'
142660083946491905,'mariviromero','El desempleo en EE UU baja a los niveles de marzo de 2009 http://t.co/2RKKqQFG','2011-12-02T18:43:09',es,'P','AGREEMENT'
142660621131980800,'mariviromero','Seguimos (@ Unidad de Cuidados Paliativos Hospital Civil) [pic]: http://t.co/7bqEqfY1','2011-12-02T18:45:17',es,'O','AGREEMENT'
142671399767646208,'riverakiko','Ya salio el sorteo de la eurocopa 2012: españa italia croacia e irlanda. A por ellos!!!!!','2011-12-02T19:28:07',es,'O','AGREEMENT'
142676877553844224,'LosadaPescador','Granado reconoce que da los datos de paro "con objetividad" por estar en interinidad. ¿Y antes? @TelediarioInter 20:30','2011-12-02T19:49:53',es,'N','AGREEMENT'
142681150308102146,'EvaORegan','Corazón partío: España e Irlanda se enfrentarán en la Eurocopa.','2011-12-02T20:06:51',es,'N','AGREEMENT'
142687408129982464,'sanchezcastejon','Transparencia Internacional España ocupa n. 31 en ranking 182 pdetrás Detrás de Chipre, Emiratos Arabes, Qatar...urge ley transparencia ya','2011-12-02T20:31:43',es,'n+','AGREEMENT'
142688031785226240,'AlejandroSanz','RT @FanClubMASes: Éstas Navidades regala solidaridad:#positivegeneration (cont) http://t.co/BksU1DZv','2011-12-02T20:34:12',es,'P','AGREEMENT'
142690669536886787,'EvaORegan','¿Crisis de identidad? RT @LoidaLois @EvaORegan ¡¡¡Tú eres española por encima de todo!!!','2011-12-02T20:44:41',es,'N','AGREEMENT'
142691468224626688,'AlejandroSanz','El Teleton hace un gran servicio social. Y voy a apoyarlo por supuesto. RT @karlagglez: (cont) http://t.co/Hs601N32','2011-12-02T20:47:51',es,'p+','AGREEMENT'
142692535503028224,'sanchezcastejon','Cospedal debería pedir perdón por mentir y utilizar de forma demagógica la rebaja sueldo funcionarios...la que ahora aplica sin pudor','2011-12-02T20:52:06',es,'N','AGREEMENT'
142696986603302912,'pedroj_ramirez','Así me gusta, Mónica “@moniromaba: @pedroj_ramirez. A la orden jefe. Cualquiera te va a discutir. Ipad+orbyt+trabajo.”','2011-12-02T21:09:47',es,'p+','AGREEMENT'
142697926290980865,'AlejandroSanz','Eso es amigos. RT @HombresSanzeros: @AlejandroSanz #NavidadSanzeraSolidaria Todos a comprar (cont) http://t.co/y4OUji31','2011-12-02T21:13:31',es,'O','AGREEMENT'
142698835578327040,'GFVara','Hace cinco meses el PP me comunicó por escrito que su interlocutor preferente era IU. Ello le permitió gobernar. Ahora pide consensos.','2011-12-02T21:17:08',es,'P','AGREEMENT'
142700153919377408,'GFVara','Bienvenidos a la Brigada anti-Vara, pero esta región tiene un problema más. IU deja tirado a Monago 5 meses después de su nombramiento.','2011-12-02T21:22:22',es,'n+','AGREEMENT'
142700988762038272,'sanchezcastejon','@GFVara la ley del embudo...característica de la derecha española. Animo','2011-12-02T21:25:41',es,'n+','AGREEMENT'
142712535869689857,'AlejandroSanz','Eso no es cierto, nos llevamos de maravilla. RT @Deyra_love_BTR: @AlejandroSanz  ¬¬ POR QE!!! (cont) http://t.co/7DyF7Sus','2011-12-02T22:11:34',es,'p+','AGREEMENT'
142716125346668544,'nachodoral','España se pone a 1 punto de ganar su quinta Davis.Sevilla, d nuevo talismán.Mañana,22h @giraldatv.es http://t.co/Ns8tOZqR','2011-12-02T22:25:50',es,'p+','AGREEMENT'
142718656571379712,'marodriguezb','Bueno: España a un punto de ganar la 5ª Copa Davis. Felicidades al equipo!!!','2011-12-02T22:35:53',es,'p+','AGREEMENT'
142736560624902144,'RodolfoIrago','Durante la campańa, Cospedal decía lo que oía en casa, ahora ya hace lo que oye en casa. http://t.co/caqPmxJM','2011-12-02T23:47:02',es,'O','AGREEMENT'
142737411007459328,'Carlos_Latre','@SSantiagosegura @angyfdz @flofdez BORRADO ESTÁ AMIGUETES!! UN ABRUZO!!;)','2011-12-02T23:50:25',es,'p+','AGREEMENT'
142739315879976960,'AlejandroSanz','Para nadaaaa... Sabeis que no es asi. A veces no coincidimos, es todo. Os mando mucho cariño,RT (cont) http://t.co/NWQIgoK5','2011-12-02T23:57:59',es,'p+','AGREEMENT'
142746097071304704,'carmenmorodo','Adiós al día en el q casi ha culminado el "destape" dl Estado de Bienestar? q nos va a quedar después d q se lo gastasen casi todo','2011-12-03T00:24:56',es,'N','AGREEMENT'
142753858559553536,'SSantiagosegura','Auan, apeich, agromenauer...Lucas Grijander y su progenitor... http://t.co/q957CpTB','2011-12-03T00:55:47',es,'O','AGREEMENT'
142760416379015168,'SSantiagosegura','"La risa ilumina las almas que están bañadas de tristeza, la sonrisa es la tibia caricia para la helada soledad"W.H. Patrick','2011-12-03T01:21:50',es,'p+','AGREEMENT'
142862083837530112,'Ignacos','Detener la carrera nuclear de Irán debería ser una prioridad estratégica máxima para Occidente.','2011-12-03T08:05:49',es,'N','AGREEMENT'
142889010551984128,'Fgarea','Altos cargos recelan del exhaustivo traspaso de poderes. Aseguran que se ha convertido en fiscalización . http://t.co/zto5m1tw','2011-12-03T09:52:49',es,'N','AGREEMENT'
142896028348203009,'sanchezcastejon','Buenos dias, que buenos eran/siguen siendo Talking Heads...','2011-12-03T10:20:42',es,'p+','AGREEMENT'
142906509758701569,'Carlos_Latre','@SSantiagosegura jijijiji y el q se sibe a la mesa dl jurado es el verdadero Manolo Escobar!!;)))) haciendo d Lady Marmalade!!!;)) jojijii','2011-12-03T11:02:21',es,'p+','AGREEMENT'
142907037939011584,'mariviromero','#malaga Plaza de la Merced   @ Plaza de la Merced http://t.co/4xScGs1a','2011-12-03T11:04:27',es,'O','AGREEMENT'
142912219972247552,'javiersolana','Los resultados preliminares en Egipto auguran un profundo cambio con consecuencias regionales.Falta voto rural q atenuará algo resultados.','2011-12-03T11:25:03',es,'N','AGREEMENT'
142926609215799296,'anabelenroy_tve','Tranquilidad en las carreteras en el segundo día de Puente de la Constitución - http://t.co/NRk2uftQ','2011-12-03T12:22:13',es,'p+','AGREEMENT'
142928818708029440,'aarbeloa17','Gracias por la hospitalidad!!! ;-) RT @IsabelaTortlini Bienvenido DON @aarbeloa17 a mi humilde morada ;)','2011-12-03T12:31:00',es,'P','AGREEMENT'
142933511345668097,'cucagamarra','En el Espolón, conmemorando el Día de la Discapacidad http://t.co/52olz4vl','2011-12-03T12:49:40',es,'P','AGREEMENT'
142935206737887232,'mariviromero','Así es el belén del Ayuntamiento http://t.co/S6Ocgz6i','2011-12-03T12:56:23',es,'O','AGREEMENT'
142935376787554304,'mariviromero','Los vándalos le arrancan de nuevo el lápiz a Picasso http://t.co/LfyNuArl','2011-12-03T12:57:04',es,'n+','AGREEMENT'
142936416949780481,'mariviromero','Esto es apoyar de verdad: La @DiputacionMLG  reducirá impuestos a 96 pueblos http://t.co/VIGtaT1k','2011-12-03T13:01:12',es,'P','AGREEMENT'
142937245148651521,'cesc4official','Un poco d agua fria despues dl entrenamiento esta mañana. Ahora a comer un poco d pasta y descanso total para esta noche q sera muy dificil!','2011-12-03T13:04:29',es,'N','AGREEMENT'
142938216415240192,'Buenafuente','Que corra el Dewars!!!“@DewarsSpain: @jordievole @buenafuente @julia_otero @santi_millan gracias Jordi”','2011-12-03T13:08:21',es,'P','AGREEMENT'
142938533374607360,'mariviromero','Detenida la jefa de una prestigiosa ONG rusa de control electoral http://t.co/leWFa7BO','2011-12-03T13:09:36',es,'p+','AGREEMENT'
142938884559478786,'Buenafuente','Porque no tenemos programa. Gracias @KimyTwitera: @Buenafuente buenafuente por q ya no dais tanta risa???¿¿¿¿???”','2011-12-03T13:11:00',es,'N','AGREEMENT'
142940119492603904,'Amartinbeaumont','Mi artículo en ESD: "La testarudez del consejero de Salud riojano pone a Sanz en la picota"  http://t.co/M9poedN7','2011-12-03T13:15:54',es,'N','AGREEMENT'
142940880964296705,'pedroj_ramirez','Noelia, Noelia, Noelia...“@njimenez79:  Me parezco a @pedroj_ramirez en el manejo del iPad. A ver si empiezo a parecerme en lectores!”','2011-12-03T13:18:56',es,'O','AGREEMENT'
142943592997076992,'ccifuentes','La vida no se mide por las veces que respiramos, sino por aquellos momentos que nos dejan sin aliento (vía @ifilosofia)','2011-12-03T13:29:42',es,'O','AGREEMENT'
142947177998716928,'mariviromero','Sinceramente, estoy observando la zona de " recreo" psiquiátrica del H.Civil y es patético lo que veo http://t.co/vE8BhpJs','2011-12-03T13:43:57',es,'n+','AGREEMENT'
142957892537024512,'alferma1','Con Fina, mi mujer, amigos y el reparto de "Iceberg", nueva película de Gabriel Velázquez.Por Gabri no pasan los años. http://t.co/n2chJhTr','2011-12-03T14:26:32',es,'p+','AGREEMENT'
142966192158683136,'mariviromero','. @diario_sur así esta la zona de "recreo" psiquiátrica en el Hospital Civil . Patético . Son personas http://t.co/QDcW1amA','2011-12-03T14:59:31',es,'n+','AGREEMENT'
142967218228035584,'GLlamazares','Me reservo dónde y cómo deposito mis ahorros con mi familia. Sólo estoy obligado a la trasparencia pública aunque veo que hay mucho experto.','2011-12-03T15:03:35',es,'n+','AGREEMENT'
142975775732269056,'SSantiagosegura','Nada como unos rollitos de vez en cuando http://t.co/5HJJprCZ','2011-12-03T15:37:36',es,'O','AGREEMENT'
142997519004213248,'javiersolana','Bien que lo siento si es así.La UEDila la bienvenida ayer.Esperemos que aun salga adelante.','2011-12-03T17:03:59',es,'N','AGREEMENT'
143002891786006528,'marodriguezb','Bueno, a ver qué hace el Madrid. Lo comentamos dentro de un rato con Edu en Radio Marca.','2011-12-03T17:25:20',es,'O','AGREEMENT'
143009263600664577,'mariviromero','Señora  @mjmonteroc mire usted el estado de la zona de " recreo" de psiquiatría del Hospital Civil de #malaga http://t.co/UAAABf17','2011-12-03T17:50:40',es,'O','AGREEMENT'
143011211649363968,'Carlos_Latre','GRACIAS AMIGOS!!! YA SOMOS 200.000!!!;)','2011-12-03T17:58:24',es,'p+','AGREEMENT'
143011541967568896,'mariviromero','Ey @ivangeba que si esta aquí la Consejera de Salud @mjmonteroc','2011-12-03T17:59:43',es,'O','AGREEMENT'
143012563263815681,'SSantiagosegura','@Carlos_Latre Twitcam, Twitcam, Twitcam, Twitcam, Twitcam, Twitcam !!!','2011-12-03T18:03:46',es,'O','AGREEMENT'
143027966543278081,'mariviromero','Preciosa de verdad - Perdóname by Pablo Alborán, from #SoundHound http://t.co/u0CAbR3X','2011-12-03T19:04:59',es,'p+','AGREEMENT'
143056921610563586,'Cepeda','Ataque de inyección SQL masivo http://t.co/q4usPkRL','2011-12-03T21:00:02',es,'n+','AGREEMENT'
143062944438161409,'Buenafuente','Descansando 2 http://t.co/1legIDgw','2011-12-03T21:23:59',es,'O','AGREEMENT'
143070052793581568,'mariviromero','Mira @sblanco nuestro árbol ;-)) http://t.co/gjBkxMpv','2011-12-03T21:52:14',es,'p+','AGREEMENT'
143140299236065280,'AlejandroSanz','RT @Nosesiaporto: Vamos Chilenos ! ultimo esfuerzo! al banco! queda poco y lo lograremos!!! La teleton te necesita!!!','2011-12-04T02:31:21',es,'p+','AGREEMENT'
143152217447346176,'AlexdelaIglesia','Ya estamos. ¿Por qué no me duermo? Lo voy a intentar, no debe ser tan difícil.','2011-12-04T03:18:42',es,'p+','AGREEMENT'
143165770904510464,'paurubio','RT @Betolash: A ver Pau ¿cuánto es 4x4? Un jeep todo terreno maestra #MultiplicoComoPaulinaRubio ja ja ja muy bueno!','2011-12-04T04:12:34',es,'p+','AGREEMENT'
143239663631601666,'sevillajordi','Por qué los medios de comunicación se han llenado de anuncios oficiales? No había q recortar el gasto publico? Quien lo denuncia?','2011-12-04T09:06:11',es,'N','AGREEMENT'
143248510572179457,'mariviromero','Buenos dias y mil gracias RT @pvcmalaga: Buen día @mariviromero,mi concejala favorita.','2011-12-04T09:41:21',es,'p+','AGREEMENT'
143256062743691264,'mariviromero','. @JavierArenas_PP  critica que @PepeGrinan pida a @MarianoRajoy una reunión que niega a sus alcaldes  http://t.co/5oMAB1Us','2011-12-04T10:11:21',es,'N','AGREEMENT'
143257242660110336,'mariviromero','. @MarianoRajoy :  "Salir adelante no es tarea de un Gobierno solo"  http://t.co/mJSq4fz1','2011-12-04T10:16:02',es,'O','AGREEMENT'
143270558614814720,'carlosecue','Krugman: la austeridad está matando al euro http://t.co/CbRL2Rj8 via @el_pais','2011-12-04T11:08:58',es,'N','AGREEMENT'
143281884145786880,'javiercasqueiro','.@sgueina: "¿quién es el tapado del PSOE? La respuesta está en mi blog http://t.co/aFKafvRL”¿Sólo ha leído dos libros?" Era una metáfora.','2011-12-04T11:53:57',es,'N','AGREEMENT'
143288518163181568,'javiercasqueiro','.@rutenca .@sgueina "el tapado ha leido más de 2! es licenciado en historia contemporanea y master en integración europea..”Viva la ironía','2011-12-04T12:20:19',es,'E','AGREEMENT'
143302306111303681,'mariviromero',';-)) RT @cacmalaga: http://t.co/AFmBIYxK @cacmalaga #arte #cultura #pintura #museo #museums','2011-12-04T13:15:06',es,'P','AGREEMENT'
143303588125474816,'DavilaGaceta','Rajoy quiere que España vuelva a tener relevancia en Europa http://t.co/RGhPlkBR','2011-12-04T13:20:12',es,'P','AGREEMENT'
143303733898510336,'EvaORegan','Políticos q no responden. "En ningún país dl mundo homologable al nstro se tolera semejante práctica" http://t.co/7hoIl9HR via @antonlosada','2011-12-04T13:20:47',es,'n+','AGREEMENT'
143307115291877376,'EvaORegan','@EvaORegan @antonlosada Obviamente, contar que son declaraciones q no ha permitido preguntas.','2011-12-04T13:34:13',es,'N','AGREEMENT'
143309719174529025,'SergioRamos','No podía faltar, dominguito en mi tierra y final de la Davis. Con el cuñao (@carlos_muela ). http://t.co/l28AOIdR','2011-12-04T13:44:34',es,'P','AGREEMENT'
143311475430260736,'zoidoalcalde','Palmas por sevillanas para animar a Rafa!! #sevillaciudadtalisman #copadavis','2011-12-04T13:51:32',es,'p+','AGREEMENT'
143314613625290752,'Edurnity','Recién llegada a Madrid!!por fin en casitaaa pero que frío!!No me quiero ni imaginar como hará en la sierra y mas cuando sea de noche....','2011-12-04T14:04:01',es,'E','AGREEMENT'
143316804259942400,'mariviromero','Retazos de una primera dama http://t.co/168s72nj','2011-12-04T14:12:43',es,'O','AGREEMENT'
143317693754380288,'mariviromero','Chico & Rita, premio europeo a la mejor cinta de animación http://t.co/FF7giIse','2011-12-04T14:16:15',es,'p+','AGREEMENT'
143324562891870209,'carlosdavidgf','Vamos equipo!! Vamos Nadal!! Toda España esta en tu mano!! Eres el mejor y contigo todos vamos a ser Campeones!! También ELORRIO','2011-12-04T14:43:33',es,'p+','AGREEMENT'
143342564567810048,'nachodoral','Otro passing escalofriante sobre la linea pone a Nadal 5 a 1 en el tercero.La ensaladera, mas cerca.#VamosRafa #CopaDavis ole @RafaelNadal!!','2011-12-04T15:55:05',es,'p+','AGREEMENT'
143346236257337345,'PilarGGranja','Dicen q esta el Rey en la Cartuja. Hoy es el DiA en q TVE tendría q sacarle todo el rato,hacer patria. Sera la imparcialidad...','2011-12-04T16:09:40',es,'P','AGREEMENT'
143354376042463233,'Edurnity','“@BeaGarciaCHV: @Edurnity mi segundo apellido es camello! Tendré algo que ver con los reyes magos???”te doy mi carta y se la das??jajja bss!','2011-12-04T16:42:01',es,'p+','AGREEMENT'
143354541075726336,'Edurnity','“@marinitaMF: @Edurnity Ojo, que yo me apellido "Molas", tal cual! y no es broma.”en serio?? Como Mola!! Jajjaja','2011-12-04T16:42:40',es,'p+','AGREEMENT'
143354715411988480,'matrujil','Viaje a las embajadas catalanas del derroche - ABC.es http://t.co/sD2LV37R via @abc_es','2011-12-04T16:43:22',es,'n+','AGREEMENT'
143356195539927042,'marodriguezb','Este set lo está ganando el público argentino. Del Potro había tirado la toalla, comenzaron a cantar y van ganado. Rafa puede! #VamosRafa','2011-12-04T16:49:15',es,'p+','AGREEMENT'
143358081777139712,'Edurnity','“@Ryankuletz: Creo que @edurnity se ha puesto a responder tweets sobre apellidos por el iPhone. #cosasquenuncaentenderas :)”jaajjajajja','2011-12-04T16:56:44',es,'p+','AGREEMENT'
143358450691354624,'anabelenroy_tve','Amonestado el público argentino en La Cartuja!!!','2011-12-04T16:58:12',es,'N','AGREEMENT'
143364774506405888,'JuanraLucas','... Y Rafa saluda a todo el equipo argentino. Qué talla de campeón!!','2011-12-04T17:23:20',es,'p+','AGREEMENT'
143364815681888257,'anabelenroy_tve','La quinta ensaladera. Nadal saludando al equipo argentino. Y ahora al público. Oe, oe, oe','2011-12-04T17:23:30',es,'p+','AGREEMENT'
143364900327137280,'alferma1','Ya esta aquí. Ya llegó por fin la quinta ensaladera. Gracias a todos los miembros del equipo hoy mucha gente dormirá feliz.','2011-12-04T17:23:50',es,'p+','AGREEMENT'
143365066933284864,'lazaroelmundo','que grande, ese abrazo de nadal con todo el equipo argentino IMPRESIONANTE. como sabe ganar este campeón!!!','2011-12-04T17:24:30',es,'p+','AGREEMENT'
143370650403352576,'Buenafuente','Grandioso Rafa Nadal!!!!!','2011-12-04T17:46:41',es,'p+','AGREEMENT'
143374898637709314,'alferma1','El público que cante gritando sin parar: "por eso yo te quiero dar Rafa mi corazón, yo te sigo a todas partes..." ¡Gracias por ser ESPAÑOL!','2011-12-04T18:03:34',es,'p+','AGREEMENT'
143375938397278208,'jmsoria','El camino no puede ser otro que más Europa #enmiblog','2011-12-04T18:07:42',es,'O','AGREEMENT'
143386588964073473,'rafam_simancas','Madrid ciudad sin niños, aumenta el número de personas que viven solas.','2011-12-04T18:50:01',es,'O','AGREEMENT'
143390430346756096,'_Rubalcaba_','Felicidades a @RafaelNadal y a todo el equipo español de Copa Davis. Todo un ejemplo de esfuerzo, ilusión y superación. RbCb','2011-12-04T19:05:17',es,'p+','AGREEMENT'
143397042977386497,'mariviromero','#donaundia Los 1000 primeros días cruciales para la vida del niño http://t.co/jLUjz5NK ENTRA y COLABORA ( RTs plis )','2011-12-04T19:31:33',es,'O','AGREEMENT'
143403534468120578,'pedroj_ramirez','Estoy viendo los editoriales “@jjesusmelian: @pedroj_ramirez cuentalo ya q estamos en el descanso”','2011-12-04T19:57:21',es,'O','AGREEMENT'
143414408675196929,'pedroj_ramirez','Fantásticas, a cual mejor “@MarisolCovelo. qué os parece mi foto de #elprimernaufragio ?http://t.co/ZjCzROgC http://t.co/CH3jjGX1”','2011-12-04T20:40:34',es,'p+','AGREEMENT'
143419382196998145,'ccifuentes','Fin a la impunidad en #Internet http://t.co/j7WaLdS3','2011-12-04T21:00:19',es,'P','AGREEMENT'
143438321790627841,'germanyanke','A mi me parece muy digno que la ministra italiana de Trabajo llore. No me lo parecían las risas de Berlusconi.','2011-12-04T22:15:35',es,'N','AGREEMENT'
